# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.091178746453443704e-01,7.091823574929069229e-01,7.144699509930358960e-01,7.074413206087181161e-01,7.109878772246582823e-01
2.000000000000000000e+00,7.536755223110652713e-01,7.568351818416301224e-01,7.579958730977559567e-01,7.556744905855042882e-01,7.562548362135671498e-01
3.000000000000000000e+00,7.617358782563837805e-01,7.650245034820737366e-01,7.659272633479494719e-01,7.672169202992004111e-01,7.645731235491359801e-01
4.000000000000000000e+00,7.731493422749549094e-01,7.783079700799587775e-01,7.765024503482074181e-01,7.758576218725818929e-01,7.758576218725818929e-01
5.000000000000000000e+00,7.758576218725818929e-01,7.821124580861490427e-01,7.795331441836471642e-01,7.826283208666494629e-01,7.785659014702088765e-01
6.000000000000000000e+00,7.786303843177714290e-01,7.848207376837761373e-01,7.856590147020892090e-01,7.865617745679649442e-01,7.827572865617745679e-01
7.000000000000000000e+00,7.889476399277791652e-01,7.918493680680939173e-01,7.923652308485942264e-01,7.928166107815320940e-01,7.913335052875934972e-01
8.000000000000000000e+00,7.964276502450348127e-01,7.996517926231622164e-01,8.006190353366005041e-01,7.984911013670363822e-01,7.977817900438483045e-01
9.000000000000000000e+00,7.982331699767861721e-01,8.016507608976012333e-01,8.042300748001032229e-01,8.017797265927263384e-01,8.006835181841630567e-01
1.000000000000000000e+01,7.984266185194738297e-01,8.010059324219757082e-01,8.031983492391023827e-01,8.021666236781016535e-01,8.004255867939128466e-01
1.100000000000000000e+01,8.002321382512251891e-01,8.033273149342274877e-01,8.048749032757286370e-01,8.042300748001032229e-01,8.026180036110394100e-01
1.200000000000000000e+01,8.012638638122259183e-01,8.048104204281660845e-01,8.036497291720402503e-01,8.042300748001032229e-01,8.042300748001032229e-01
