# d, f1, f2, f3, f4, f5
1.000000000000000000e+00,7.432800000000000518e-01,7.419999999999999929e-01,7.478399999999999492e-01,7.446800000000000086e-01,7.441400000000000237e-01
2.000000000000000000e+00,7.745600000000000263e-01,7.729399999999999604e-01,7.748599999999999932e-01,7.734999999999999654e-01,7.759399999999999631e-01
3.000000000000000000e+00,7.855999999999999650e-01,7.825199999999999934e-01,7.855199999999999960e-01,7.847399999999999931e-01,7.871399999999999508e-01
4.000000000000000000e+00,7.920599999999999863e-01,7.903999999999999915e-01,7.931599999999999762e-01,7.924799999999999622e-01,7.938399999999999901e-01
5.000000000000000000e+00,7.958600000000000119e-01,7.945600000000000440e-01,7.962200000000000388e-01,7.965999999999999748e-01,7.958600000000000119e-01
6.000000000000000000e+00,7.971599999999999797e-01,7.973400000000000487e-01,7.995600000000000485e-01,7.985999999999999766e-01,7.981200000000000516e-01
7.000000000000000000e+00,8.028999999999999471e-01,8.026999999999999691e-01,8.067400000000000126e-01,8.036799999999999500e-01,8.031800000000000050e-01
8.000000000000000000e+00,8.070599999999999996e-01,8.061000000000000387e-01,8.121000000000000441e-01,8.057199999999999918e-01,8.060199999999999587e-01
9.000000000000000000e+00,7.046400000000000441e-01,7.024200000000000443e-01,8.151000000000000467e-01,6.997200000000000086e-01,7.068799999999999528e-01
1.000000000000000000e+01,5.339399999999999702e-01,5.576200000000000045e-01,8.162800000000000056e-01,5.719800000000000439e-01,6.225600000000000023e-01
1.100000000000000000e+01,5.658999999999999586e-01,6.267200000000000548e-01,7.701200000000000268e-01,4.360399999999999832e-01,4.252400000000000069e-01
1.200000000000000000e+01,6.266199999999999548e-01,6.463999999999999746e-01,7.063000000000000389e-01,6.309799999999999853e-01,6.314199999999999813e-01
